source_name,source_number,permit_number,permit_type,permit_type2,line1_addr,city_text,zip_cd,latitude,longitude
"TDY Industries, LLC",22-0547,22-0547-TV-01,TV,TV,1600 OLD SALEM RD NE,ALBANY,97321-4548,44.6546,-123.0632
W.R. Grace & Co. - Conn.,22-6009,22-6009-ST-01,ST,ST,1290 INDUSTRIAL WAY SW,ALBANY,97322-3342,44.6285,-123.1018
"Arauco North America, Inc.",22-6029,22-6029-SI-01,SI,SI,3030 CALAPOOIA ST SW,ALBANY,97321,44.6131,-123.1057
"Selmet, Inc.",22-8041,22-8041-ST-01,ST,ST,33992 SEVEN MILE LN SE,ALBANY,97322-7240,44.5773,-123.0555
Northwest Pipeline LLC,22-8042,22-8042-ST-01,ST,ST,34939 SPICER DR SE,ALBANY,97322-9758,44.6026,-123.004
"OFD Foods, LLC",22-8044,22-8044-11-01,11,G2,770 W 29TH,ALBANY,97321,44.6144,-123.1111
"OFD Foods, LLC",22-8045,22-8045-SI-01,SI,SI,525 25TH AVE SW,ALBANY,97321,44.6083,-123.1166
"AAsum Funeral Home, Inc. dba Aasum-Dufour Funeral Home",22-8054,22-8054-12-01,12,G1,805 ELLSWORTH ST SW,ALBANY,97321-2460,44.6317,-123.105
"Courtesy Corner and Albany Heating Oil, Inc.",22-8057,22-8057-22-01,22,G5,1515 CALAPOOIA S.W.,ALBANY,97321,44.6254,-123.1091
Costco Wholesale Corporation,22-8058,22-8058-22-01,22,G5,3130 Killdeer Ave SE,Albany,97322,44.6391,-123.0668
Linn Regional Fueling Facility,22-8060,22-8060-22-01,22,G5,3010 FERRY ST SW,ALBANY,97322-3937,44.6141,-123.1013
"Leathers Enterprises, Incorporated dba Leathers Oil Co.",22-8065,22-8065-22-01,22,G5,3105 SANTIAM HWY SE,ALBANY,97322-5261,44.6306,-123.0672
"Leathers Enterprises, Incorporated dba Leathers Oil Co.",22-8066,22-8066-22-01,22,G5,33385 HIGHWAY 34 E,ALBANY,97322,44.6297,-123.0276
Pilot Travel Centers LLC,22-8069,22-8069-22-01,22,G5,33380 SE HIGHWAY 34 & I-5,ALBANY,97321,44.5554,-123.0574
"Petrocard, Inc.",22-8078,22-8078-22-01,22,G5,1130 OLD SALEM RD NE,ALBANY,97321,44.6508,-123.063
"Petrocard, Inc.",22-8079,22-8079-22-01,22,G5,2525 PACIFIC BLVD SE,ALBANY,97321-5072,44.6369,-123.0752
"Fred Meyer Stores, Inc. dba FM Fuel Stop",22-8082,22-8082-22-01,22,G5,2500 SANTIAM HWY SE,ALBANY,97322-5211,44.6324,-123.0752
"Petrocard, Inc.",22-8083,22-8083-22-01,22,G5,33380 HIGHWAY 34 SE,ALBANY,97322,44.55,-123.0607
"ARS-Fresno, LLC",22-8084,22-8084-22-01,22,G5,33125 HWY 34 SE,ALBANY,97321,44.5559,-123.0662
Truax Corporation,22-8085,22-8085-22-01,22,G5,1128 PACIFIC BLVD SE,ALBANY,97321,44.6332,-123.0906
Truax Corporation,22-8086,22-8086-22-01,22,G5,505 PACIFIC BLVD SW,ALBANY,97321,44.6261,-123.1077
Truax Corporation,22-8087,22-8087-22-01,22,G5,1208 PACIFIC BLVD SE,ALBANY,97321,44.6333,-123.0895
"Red Sea Hassan, Inc.",22-8090,22-8090-22-01,22,G5,33200 Highway 34 SE,Albany,97322,44.5559,-123.0661
"Jacksons Food Stores, Inc.",22-8091,22-8091-22-01,22,G5,4196 SANTIAM HWY SE,ALBANY,97322-7029,44.6293,-123.0522
"Jacksons Food Stores, Inc. dba Jacksons Food Stores #109",22-8092,22-8092-22-01,22,G5,33157 HIGHWAY 34 SE,ALBANY,97322,44.5558,-123.0665
DS Albany LLC,22-8093,22-8093-22-01,22,G5,3135 SANTIAM HWY SE,ALBANY,97322-5261,44.6305,-123.0667
Safeway Inc.,22-8095,22-8095-22-01,22,G5,1980 14TH AVE SE,ALBANY,97322-8504,44.6289,-123.0813
Borde LLC,22-8097,22-8097-22-01,22,G5,1010 PACIFIC BLVD SE,ALBANY,97321-3151,44.6331,-123.0921
"Virk Petroleum Albany, LLC",22-8102,22-8102-22-01,22,G5,321 AIRPORT RD SE,ALBANY,97322-4505,44.6403,-123.0631
"Springer & Son, Inc.",34-0070,34-0070-12-01,12,G1,4150 SW 185TH AVE,ALOHA,97007-1564,45.4901,-122.8672
"Central Auto Body, LLC",34-0209,34-0209-BS-01,BS,BS,19590 SW SHAW ST,ALOHA,97078,45.4947,-122.8788
Intel Corporation,34-2681,34-2681-ST-02,ST,ST,3585 SW 198TH AVE,ALOHA,97007,45.4927,-122.8827
"Plaid Pantries, Inc.",34-9563,34-9563-23-01,23,G4,20375 SW BASELINE,ALOHA,97006,45.5152,-122.8851
"Cain Petroleum, Inc.",34-9592,34-9592-23-01,23,G4,17095 SW TUALATIN VALLEY HWY,ALOHA,97007,45.4927,-122.8524
Cain Petroleum Inc.,34-9626,34-9626-23-01,23,G4,18560 SW TUALATIN VALLEY HWY,ALOHA,97006,45.4939,-122.868
"Jacksons Food Stores, Inc.",34-9641,34-9641-23-01,23,G4,17395 SW FARMINGTON RD,ALOHA,97007-3214,45.4802,-122.8565
Cain Petroleum Inc,34-9642,34-9642-23-01,23,G4,19165 SW TUALATIN VALLEY HWY,ALOHA,97006,45.4954,-122.8766
Alsea Quarries,02-0016,02-0016-08-01,8,G2,19331 S FORK RD,ALSEA,97324,44.3558,-123.5841
Precious Pets Crematory LLC,36-0049,36-0049-12-01,12,G1,113 E 3RD ST,AMITY,97101,45.1175,-123.2051
"Hall's Quick Stop, Inc.",36-9512,36-9512-22-01,22,G5,402 S. TRADE STREET,AMITY,97101,45.1163,-123.2065
"Waste Management Disposal Services of Oregon, Inc.",11-0001,11-0001-TV-01,TV,TV,18177 CEDAR SPRINGS LN,ARLINGTON,97812,45.6159,-120.2389
"Chemical Waste Management of the Northwest, Inc.",11-0002,11-0002-SI-01,SI,SI,18177 CEDAR SPRINGS LN,ARLINGTON,97812,45.6159,-120.2389
"Mid Columbia Producers, Inc.",11-0005,11-0005-13-01,13,G1,100 PORT ISLAND,ARLINGTON,97812,45.5747,-120.2021
InEnTec Columbia Ridge LLC,11-0006,11-0006-SI-01,SI,SI,17661 CEDAR SPRINGS LN,ARLINGTON,97812-6570,45.6161,-120.2501
Hattenhauer Distributing Co.,11-0008,11-0008-17-01,17,G1,1590 HWY 19 S,ARLINGTON,97812,45.7062,-120.1804
Devin Oil Co. Inc.,11-0014,11-0014-22-01,22,G5,100 BEECH STREET,ARLINGTON,97812,45.7193,-120.2032
Devin Oil Co. Inc.,11-0009,11-0009-17-01,17,G1,74567 HIGHWAY 19,ARLINGTON ,97812,45.7051,-120.1792
Southern Oregon University Foundation,15-0088,15-0088-11-01,11,G2,1250 SISKIYOU BLVD,ASHLAND,97520,42.1864,-122.6952
Oak Street Tank & Steel Inc.,15-0091,15-0091-29-01,29,G4,789 E. JEFFERSON AVENUE,ASHLAND,97520,42.1843,-122.6687
"Ed Staub and Sons Petroleum, Inc.",15-0119,15-0119-22-01,22,G5,2495 HIGHWAY 66,ASHLAND,97520-1409,42.1854,-122.6641
"Litwiller-Simonsen Funeral Services, Inc.",15-0163,15-0163-12-01,12,G1,1811 ASHLAND ST,ASHLAND,97520,42.185,-122.6833
"Rogue Valley Stations, Inc.",15-9558,15-9558-22-01,22,G5,461 S VALLEY VIEW RD,ASHLAND,97520-9349,42.226,-122.7405
"Ed Staub and Sons Petroleum, Inc.",15-9564,15-9564-22-01,22,G5,2371 ASHLAND ST,ASHLAND,97520-1407,42.1853,-122.6686
WSCO Petroleum Corp.,15-9567,15-9567-22-01,22,G5,449 E MAIN ST,ASHLAND,97520,42.1945,-122.7094
"Ed Staub and Sons Petroleum, Inc.",15-9585,15-9585-22-01,22,G5,1515 SISKIYOU BLVD,ASHLAND,97520,42.184,-122.6884
"Colvin Oil I, LLC dba Ashland Chevron",15-9597,15-9597-22-01,22,G5,2500 Highway 66,ASHLAND,97520-1412,42.1854,-122.664
BP Products North America Inc.,15-9600,15-9600-22-01,22,G5,2380 Highway 66,ASHLAND,97520-1410,42.1853,-122.6683
"Colvin Oil I, LLC",15-9611,15-9611-22-01,22,G5,460 S VALLEY VIEW RD,ASHLAND,97520-9349,42.226,-122.7405
Truax Corporation,15-9622,15-9622-22-01,22,G5,2490 ASHLAND ST,ASHLAND,97520-1473,42.1854,-122.6641
"Woodbury Energy Company, Inc.",15-9627,15-9627-22-01,22,G5,120 LOWE RD,ASHLAND,97520-9618,42.2272,-122.7424
Caldwell's Luce-Layton Mortuary Inc.,04-0002,04-0002-BS-01,BS,BS,1165 FRANKLIN AVE,ASTORIA,97103,46.1869,-123.8295
Caffeination Corporation,04-0010,04-0010-16-01,16,G1,279 MARINE DR,ASTORIA,97103-4325,46.1905,-123.8397
Safeway Inc.,04-0016,04-0016-22-01,22,G5,3250 LEIF ERICKSON DRIVE,ASTORIA,97103,46.1919,-123.808
Krista-Cody Ltd,04-0026,04-0026-22-01,22,G5,2264 MARINE DR,ASTORIA,97103-3344,46.1885,-123.8161
Astoria Animal Aid P.C.,04-0033,04-0033-BS-01,BS,BS,35109 HWY 101 BUSINESS,ASTORIA,97103,46.1882,-123.8092
"Northwest Ready Mix, Inc.",04-0046,04-0046-BS-01,BS,BS,950 OLNEY AVE,ASTORIA,97103-5530,46.1736,-123.8315
"HRMORT, LLC",04-0049,04-0049-12-01,12,G1,576 12TH ST,ASTORIA,97103,46.1833,-123.8294
Zedwick.DVM.LLC,04-0063,04-0063-BS-01,BS,BS,576 31ST ST,ASTORIA,97103-2705,46.191,-123.8097
Don Small & Sons Oil Dist Co,04-0072,04-0072-22-01,22,G5,180 MARINE DR,ASTORIA,97103,46.191,-123.8385
"Jackson & Son Distributors, Inc.",04-0074,04-0074-22-01,22,G5,469 W MARINE DR,ASTORIA,97103,46.1852,-123.8572
Sundeep & Ekam LLC,04-0077,04-0077-22-01,22,G5,95 W. Marine Drive,ASTORIA,97103,46.1906,-123.8449
Wilson Oil Inc.,04-0089,04-0089-22-01,22,G5,42273 KYLESTER RD,ASTORIA,97103-8672,46.155,-123.7417
Wilson Oil Inc.,04-0092,04-0092-22-01,22,G5,584 MARINE DR,ASTORIA,97103-4237,46.1904,-123.8366
SABI Inc,04-0093,04-0093-22-01,22,G5,42930 OLD HIGHWAY 30,ASTORIA,97103-8653,46.1715,-123.6576
ALB LLC,04-0094,04-0094-22-01,22,G5,1701 E MARINE DR,ASTORIA,97103-3501,46.1891,-123.8244
"Ektron Industries, Inc.",24-0130,24-0130-26-01,26,G1,9610 MILL CREEK RD SE,AUMSVILLE,97325-9727,44.8402,-122.8648
"Aumsville Quick Stop, Inc.",24-0133,24-0133-22-01,22,G5,522 MAIN ST,AUMSVILLE,97325,44.8407,-122.8703
Statera Fiberglass LLC,24-0162,24-0162-ST-01,ST,ST,9050 PORTER WAY SE,AUMSVILLE,97325,44.8241,-122.8614
"Columbia Helicopters, Inc.",24-0148,24-0148-SI-01,SI,SI,14452 ARNDT RD NE,AURORA,97002,45.2587,-122.7653
"Foster Farms, LLC",24-8062,24-8062-14-01,14,G1,11671 EHLEN RD,AURORA,97002,45.2332,-122.7631
"The Quikrete Companies, LLC",24-9212,24-9212-09-01,9,G1,19527 GRIM RD NE,AURORA,97002-9424,45.2019,-122.7843
Pilot Travel Centers LLC,24-9246,24-9246-22-01,22,G5,12334 EHLEN RD NE,AURORA,97002-8673,45.2347,-122.8089
"Leathers Enterprises, Incorporated dba Leathers Oil Co.",24-9247,24-9247-22-01,22,G5,21687 HIGHWAY 99E,AURORA,97002,45.2227,-122.8146
TA Operating LLC,24-9278,24-9278-22-01,22,G5,21856 BENTS RD NE,AURORA,97002-8676,45.2354,-122.8082
Jubitz Corporation,24-9308,24-9308-22-01,22,G5,21690 DOLORES WAY NE,AURORA,97002-9738,45.2319,-122.8073
Eastern Oregon Pioneer Crematory,01-0005,01-0005-BS-01,BS,BS,1500 DEWEY AVE,BAKER CITY,97814-3840,44.7726,-117.8295
"Maverik, Inc.",01-0010,01-0010-22-01,22,G5,1520 CAMPBELL ST,BAKER CITY,97814-2109,44.7817,-117.8248
Northwest Land and Cattle Company,01-0011,01-0011-22-01,22,G5,940 HWY. 7,BAKER CITY,97814,44.7676,-117.8354
Marvin Wood Products,01-0035,01-0035-10-01,10,G3,3665 17TH ST,BAKER CITY,97814-1318,44.7924,-117.8511
Northwest Pipeline LLC,01-0038,01-0038-TV-01,TV,TV,18193 Chandler Lane,Baker City,97814,44.8567,-117.8734
"R.D. Mac, Inc.",01-0046,01-0046-BS-01,BS,BS,20164 S AIRPORT LANE,BAKER CITY,97814,44.7801,-117.8286
"Byrnes Oil Company, Inc.",01-0047,01-0047-17-01,17,G1,2885 13TH ST,BAKER CITY,97814,44.7849,-117.8458
"Black Distributing, Inc.",01-0048,01-0048-17-01,17,G1,3345 17TH ST,BAKER CITY,97814-1312,44.7894,-117.8498
Humble's Car Wash,01-0052,01-0052-22-01,22,G5,2500 CEDAR ST,BAKER CITY,97814,44.7819,-117.8213
"Black Distributing, Inc.",01-0055,01-0055-22-01,22,G5,2150 BROADWAY,BAKER CITY,97814,44.7784,-117.833
"Jacksons Food Stores, Inc.",01-0056,01-0056-22-01,22,G5,1702 MAIN ST,BAKER CITY,97814,44.7748,-117.8293
"A & B Enterprises, Inc.",01-0060,01-0060-22-01,22,G5,275 CAMPBELL ST,BAKER CITY,97814-2260,44.7819,-117.8126
Trukorp Inc.,01-0062,01-0062-22-01,22,G5,515 CAMPBELL ST,BAKER CITY,97814-2207,44.7815,-117.8141
Northwest Land and Cattle Company,01-0063,01-0063-22-01,22,G5,2212 10TH ST,BAKER CITY,97814,44.7787,-117.8408
"Jacksons Food Stores, Inc.",01-0064,01-0064-22-01,22,G5,500 CAMPBELL STREET,BAKER CITY,97814,44.782,-117.8144
Bandon Concrete LLC,06-0014,06-0014-09-01,9,G1,55356 ROSA RD.,BANDON,97411,43.1045,-124.4087
Oregon Overseas Timber Co. Incorporated,06-0108,06-0108-10-01,10,G3,87680 KEHL LANE,BANDON,97411,43.0823,-124.4099
"CECO, Inc.",06-0145,06-0145-22-01,22,G5,465 2ND STREET SE,BANDON,97411,43.0667,-124.4153
"CECO, Inc.",06-0149,06-0149-22-01,22,G5,785 HIGHWAY 101,BANDON,97411,43.0569,-124.4161
Goddard Energy Co.,06-0152,06-0152-22-01,22,G5,530 2ND STREET SE,BANDON,97411,43.1189,-124.4067
Ronald C. La Franchi dba Ron's Oil Company,06-0155,06-0155-22-01,22,G5,1355 OREGON AVE SW,BANDON,97411-9171,43.1114,-124.4151
"Sweere's Auto Body, LLC",34-0204,34-0204-BS-01,BS,BS,13961 NW MAIN STREET,BANKS,97106,45.6209,-123.1148
Hampton Lumber Mills - Banks Inc.,34-2565,34-2565-10-01,10,G3,42060 NW SUNSET AVE,BANKS,97106,45.6182,-123.1096
Sheldon Oil Company,34-9611,34-9611-22-01,22,G5,13982 NW MAIN ST,BANKS,97106,45.6172,-123.1125
"APRO, LLC",34-9622,34-9622-23-01,23,G4,49950 NW SUNSET HWY,BANKS,97106-7611,45.6796,-123.1909
Cain Petroleum Incorporated,34-9671,34-9671-23-01,23,G4,12440 NW Main St,Banks,97106,45.6112,-123.1145
"Tillamook Country Smoker, LLC",29-0013,29-0013-SI-01,SI,SI,8250 WARREN AVENUE,BAY CITY,97107,45.5167,-123.8828
Sheldon Oil Company,29-0084,29-0084-22-01,22,G5,24485 HWY 101 S ,BEAVER,97108,45.2848,-123.6908
Bowers Forest Products Corporation,03-0023,03-0023-10-01,10,G3,17770 S SCHMIDT RD,BEAVER CREEK,97004,45.2376,-122.5053
"Stein Oil Co., Inc.",20149.00,03-9555-23-01,Jan-00,G4,22025 S BEAVERCREEK RD,BEAVERCREEK,97004-7685,45.2878,-122.5338
International Paper Company,34-0009,34-0009-SI-01,SI,SI,"5500, 5570, & 5800 SW WESTERN AVE",BEAVERTON,97005-4116,45.4801,-122.7821
"Hurford Industries, Inc.",34-0111,34-0111-29-01,29,G4,16650 SW SHAW ST,BEAVERTON,97007-1941,45.4915,-122.8483
Beaverton Auto Body & Paint LLC,34-0121,34-0121-R1-03,R1,R1,4330 SW 142ND AVE,BEAVERTON,97005-2522,45.4885,-122.8223
Costco Wholesale Corporation,34-0132,34-0132-23-01,23,G4,15901 SW Jenkins Rd,Beaverton,97006,45.5088,-122.8423
Walker Oil LLC,34-0177,34-0177-23-01,23,G4,18335 NW WALKER RD,BEAVERTON,97006,45.5269,-122.8656
"Quality Auto Body, Inc.",34-0194,34-0194-BS-01,BS,BS,3900 SW 173RD AVE,BEAVERTON,97078,45.4917,-122.8542
"Precision Body & Paint, Inc.",34-0197,34-0197-BS-01,BS,BS,14145 SW TUALATIN VALLEY HWY,BEAVERTON,97075,45.4897,-122.8228
"Gerber Collision (Oregon, Inc.",34-0199,34-0199-BS-01,BS,BS,4150 SW 141ST AVENUE,BEAVERTON,97005,45.49,-122.8213
"Heitzman Body & Paint, Inc.",34-0205,34-0205-BS-01,BS,BS,11800 SW BEAVERTON HILLSDALE HWY,BEAVERTON,97005,45.4862,-122.798
"West Beaverton Body & Paint Center, Inc.",34-0206,34-0206-BS-01,BS,BS,16800 SW SHAW STREET,BEAVERTON,97078,45.4913,-122.8501
"Carr Auto Group, Inc.",34-0212,34-0212-BS-01,BS,BS,10075 SW CANYON RD,BEAVERTON,97005,45.4935,-122.7796
Caliber Holdings Corporation,34-0216,34-0216-BS-01,BS,BS,4400 SW ROSE LN,BEAVERTON,97005-2601,45.4878,-122.8178
Kevin Dru Robertson,34-0217,34-0217-BS-01,BS,BS,11583 SW CANYON RD,BEAVERTON,97005,45.49,-122.7954
"Fred Meyer Stores, Inc.",34-0219,34-0219-23-01,23,G4,11360 SW CANYON RD,BEAVERTON,97005,45.4903,-122.7919
Bruce Grauman,34-0224,34-0224-BS-01,BS,BS,19390 SW SHAW ST,BEAVERTON,97078,45.4944,-122.8766
"Lucky Auto Body, Paint and Repair",34-0229,34-0229-BS-01,BS,BS,4460 SW 142ND AVE,BEAVERTON,97005,45.4877,-122.8224
Baker Rock Crushing Co.,34-2021,34-2021-ST-01,ST,ST,21880 SW FARMINGTON RD,BEAVERTON,97007-5470,45.4566,-122.8964
Baker Rock Crushing Co.,34-2637,34-2637-07-01,7,G3,21880 SW FARMINGTON RD,BEAVERTON,97007-5470,45.4566,-122.8964
"Tektronix, Inc.",34-2638,34-2638-ST-01,ST,ST,14150 SW KARL BRAUN DR,BEAVERTON,97077,45.499,-122.8179
Wilsonville Concrete Products,34-2640,34-2640-09-01,9,G1,6700 SW 110TH AVE,BEAVERTON,97008-5366,45.4709,-122.7885
Bretthauer Oil Company,34-2651,34-2651-17-01,17,G1,6800 SW 110TH AVE,BEAVERTON,97005,45.4708,-122.7884
Baker Rock Crushing Co.,34-2737,34-2737-09-01,9,G1,21880 SW FARMINGTON RD,BEAVERTON,97007-5470,45.4566,-122.8964
"Bimbo Bakeries USA, Inc.",34-2783,34-2783-ST-01,ST,ST,10750 SW 5TH ST,BEAVERTON,97005,45.4831,-122.7874
"Maxim Integrated Products, Inc.",34-2804,34-2804-ST-01,ST,ST,14320 SW JENKINS RD,BEAVERTON,97005-1155,45.5021,-122.8246
Beaverton Fashion Cleaners,34-9535,34-9535-06-01,6,G6,12525 SW ALLEN BLVD,BEAVERTON,97005-4728,45.4765,-122.8056
"Safeway, Inc.",34-9552,34-9552-23-01,23,G4,14679 SW TEAL BLVD,BEAVERTON,97007-6194,45.4409,-122.8277
Cain Petroleum Incorporated,34-9558,34-9558-23-01,23,G4,14975 SW WALKER RD,BEAVERTON,97006-5913,45.51,-122.83
"Fred Meyer Stores, Inc.",34-9560,34-9560-23-01,23,G4,15995 SW WALKER RD,BEAVERTON,97006,45.5184,-122.8416
Chevron Products Co.,34-9564,34-9564-23-01,23,G4,14850 SW MURRAY SCHOLLS DR,BEAVERTON,97007-9711,45.4361,-122.8305
"Jacksons Food Stores, Inc.",34-9566,34-9566-23-01,23,G4,1220 NW WATERHOUSE AVE,BEAVERTON,97006-5799,45.52,-122.84
"Century Petroleum, LLC",34-9567,34-9567-23-01,23,G4,2115 NW TOWN CENTER DR,BEAVERTON,97006,45.5349,-122.8665
Petrocard Inc.,34-9581,34-9581-23-01,23,G4,13275 SW HENRY ST,BEAVERTON,97005,45.4897,-122.8133
"7-Eleven, Inc.",34-9583,34-9583-23-01,23,G4,75 NW 158TH AVE,BEAVERTON,97006,45.5205,-122.8387
"CECO, Inc.",34-9584,34-9584-22-01,22,G5,4955 SW WESTERN AVE,BEAVERTON,97005-3449,45.4841,-122.7826
Chevron Products Co.,34-9588,34-9588-23-01,23,G4,11015 SW CANYON RD,BEAVERTON,97005,45.4917,-122.7885
BP Products North America Inc.,34-9593,34-9593-23-01,23,G4,11925 SW ALLEN BLVD,BEAVERTON,97005,45.4768,-122.7998
BP Products North America Inc.,34-9619,34-9619-23-01,23,G4,15320 NW CORNELL RD,BEAVERTON,97006-5625,45.532,-122.8338
Alskoam Corporation,34-9620,34-9620-23-01,23,G4,10975 SW BEAVERTON HILLSDALE HWY,BEAVERTON,97005-3002,45.4866,-122.7895
Cain Petroleum Inc.,34-9628,34-9628-23-01,23,G4,3520 SW CEDAR HILLS BLVD,BEAVERTON,97005-2036,45.4943,-122.8083
"Jacksons Food Stores, Inc.",34-9635,34-9635-23-01,23,G4,11850 SW CANYON RD,BEAVERTON,97005,45.489,-122.7988
"Jacksons Food Stores, Inc.",34-9636,34-9636-23-01,23,G4,2355 NW TOWN CENTER DR,BEAVERTON,97006-8909,45.5364,-122.8668
Cain Petroleum Inc.,34-9638,34-9638-23-01,23,G4,8710 SW HALL BLVD,BEAVERTON,97008-6431,45.4568,-122.782
"Highland Food Mkt, Inc",34-9644,34-9644-23-01,23,G4,14470 SW ALLEN BLVD,BEAVERTON,97005-4401,45.4765,-122.8245
Cain Petroleum Inc.,34-9645,34-9645-23-01,23,G4,6655 SW SCHOLLS FERRY RD,BEAVERTON,97008-5442,45.4725,-122.7731
Reliance Oil LLC,34-9650,34-9650-23-01,23,G4,11400 SW BEAVERTON-HILLSDALE HWY,BEAVERTON,97005-2930,45.4863,-122.7924
RS Petroleum LLC,34-9651,34-9651-23-01,23,G4,12075 SW CANYON RD,BEAVERTON,97005,45.4892,-122.8008
"Chevron U.S.A., Inc",34-9654,34-9654-23-01,23,G4,11520 SW CANYON RD,BEAVERTON,97005,45.4897,-122.7943
Triple Seven Station LLC,34-9665,34-9665-23-01,23,G4,12975 SW CANYON RD,BEAVERTON,97005,45.4884,-122.8103
"APRO, LLC",34-9666,34-9666-23-01,23,G4,2420 SW CEDAR HILLS BLVD,BEAVERTON,97005-1368,45.5021,-122.8051
Beaverton Cleaners,34-9696,34-9696-06-01,6,G6,12855 SW CANYON RD,BEAVERTON,97005,45.4885,-122.8075
"Bend Plating - PVD Coatings, LLC",09-0012,09-0012-02-01,2,G2,550 SE BRIDGEFORD BLVD,BEND,97702,44.0451,-121.2891
"JELD-WEN, inc.",09-0015,09-0015-ST-01,ST,ST,62845 BOYD ACRES RD,BEND,97701-8502,44.083,-121.2958
Horizon Pet Services LLC,09-0025,09-0025-12-01,12,G1,1723 NE LYTLE ST,BEND,97701-4058,44.068,-121.3045
"Bend Research, Inc.",09-0036,09-0036-SI-01,SI,SI,20503 BUILDERS CT,BEND,97701-8507,44.0886,-121.2957
Deschutes County Dept. of Solid Waste,09-0040,09-0040-TV-01,TV,TV,61050  SE 27TH ST,BEND,97702,44.0215,-121.2632
"St. Charles Health System, Inc.",09-0048,09-0048-11-01,11,G2,2500 NE NEFF RD,BEND,97701,44.0688,-121.2701
"Colvin Oil I, LLC",09-0054,09-0054-22-01,22,G5,3405 N HWY 97,BEND,97701,44.0832,-121.3048
Daniel Family LLC,09-0057,09-0057-12-01,12,G1,63875 HWY 97N,BEND,97701,44.0927,-121.2936
"Niswonger-Reynolds, LLC",09-0067,09-0067-12-02,12,G1,105 NW IRVING AVE,BEND,97701,44.0589,-121.3088
"Expressway Store, Inc.",09-0071,09-0071-22-01,22,G5,1450 SE REED MARKET RD.,BEND,97702,44.0371,-121.2841
"Genesis Acquisition Company, Inc.",09-0072,09-0072-SI-01,SI,SI,681 SE GLENWOOD,BEND,97709,44.051,-121.2971
"Southgate Center Investment, LLC",09-0076,09-0076-22-01,22,G5,61396 S HWY 97,BEND,97702,44.0295,-121.3115
"Thabet Management, Inc.",09-0080,09-0080-22-01,22,G5,575 NE BELLEVUE,BEND,97701,44.0568,-121.2623
Gas Transmission Northwest LLC,09-0084,09-0084-TV-01,TV,TV,US HWY 97 19 MI S OF BEND,BEND,97701,43.7831,-121.4481
Humane Society of Central Oregon,09-0089,09-0089-12-01,12,G1,61170 SE 27TH ST,BEND,97702,44.0217,-121.2616
Strictly Organic Coffee Company,09-0099,09-0099-16-01,16,G1,6 SW BOND ST.,BEND,97702,44.0513,-121.3162
"Willamette Graystone, Inc.",09-0101,09-0101-BS-01,BS,BS,64978 DESCHUTES PLSNT RDG RD,BEND,97701-7992,44.1622,-121.252
Bend Oil Company,09-0106,09-0106-17-01,17,G1,303 SE SCOTT ST,BEND,97702-1376,44.0499,-121.3034
"Qorvo Oregon, Inc.",09-0119,09-0119-26-01,26,G1,"63140 BRITTA ST., BLDG. C",BEND,97701,44.0923,-121.3086
Suterra LLC,44447.00,09-9508-SI-01,SI,SI,20950 NE TALUS PLACE,BEND,97701,44.1139,-121.2781
Bend Oil Company,44449.00,09-9510-17-01,Jan-00,G1,913 NE 1ST ST,BEND,97701-4619,44.0594,-121.3062
